"Material","Alias","readable"
"asphalt","asphalt","asphalt"
"biohazard","biohazard","biohazard"
"biohazard","medical","biohazard"
"biohazard","medical/personalhygiene","biohazard"
"biohazard","medicalwaste","biohazard"
"biohazard","toxic","biohazard"
"ceramic","ceramic","ceramic"
"ceramic","concrete/pottery","ceramic"
"ceramic","pottery/ceramic","ceramic"
"ceramic","pottery/ceramics","ceramic"
"cloth","cloth","cloth"
"cloth","cloth/fabric","cloth"
"cloth","cloth/textile","cloth"
"cloth","clothes/fabric","cloth"
"cloth","clothing","cloth"
"cloth","clothmaterials","cloth"
"cloth","fabric","cloth"
"cloth","fabric/cloth","cloth"
"cloth","naturalproducts/clothes","cloth"
"cloth","rag/cloth","cloth"
"cloth","textile","cloth"
"cloth","textiles","cloth"
"concreteorasphalt","concrete/asphalt","concrete OR asphalt"
"concreteorasphalt","concreteorasphalt","concrete OR asphalt"
"cotton","cotton","cotton"
"cotton","textiles/naturalfibers","cotton"
"fibreglass","fibreglass","fibreglass"
"foam","foam","foam"
"foam","foamedplastic","foam"
"foam","polystyrenefoam","foam"
"foam","styrofoam","foam"
"glass","glass","glass"
"glassorceramic","glass/ceramic","glass OR ceramic"
"glassorceramic","glass/ceramics","glass OR ceramic"
"glassorceramic","glass&ceramic","glass OR ceramic"
"glassorceramic","glass&ceramicmaterials","glass OR ceramic"
"glassorceramic","glassorceramic","glass OR ceramic"
"hardplastics","hardplastics","hard plastics"
"leather","leather","leather"
"metal","metal","metal"
"metal","metallic","metal"
"metal","metalmaterials","metal"
"metal","metals","metal"
"organic","biodegradable","organic"
"organic","food","organic"
"organic","organic","organic"
"organic","organicitems","organic"
"organic","organicmatter","organic"
"organic","organics","organic"
"other","miscellaneous","other"
"other","mixedmaterials","other"
"other","other","other"
"other","otheritems","other"
"other","othermaterial","other"
"other","others","other"
"other","unidentified","other"
"paint","paint","paint"
"paper","paper","paper"
"paperorcardboard","paper/cardboard","paper OR cardboard"
"paperorcardboard","paper/cardboardmaterials","paper OR cardboard"
"paperorcardboard","paper/carton","paper OR cardboard"
"paperorcardboard","paperorcardboard","paper OR cardboard"
"plastic","artificialpolymermaterials","plastic"
"plastic","plastic","plastic"
"plastic","plastic/styrofoam","plastic"
"plastic","plasticfragments","plastic"
"plastic","plasticmaterials","plastic"
"plastic","plastics","plastic"
"processedwood","processed/workedwood","processed wood"
"processedwood","processedlumber","processed wood"
"processedwood","processedwood","processed wood"
"rubber","rubber","rubber"
"rubber","rubbermaterials","rubber"
"sanitarywaste","personalhygiene","sanitary waste"
"sanitarywaste","sanitary","sanitary waste"
"sanitarywaste","sanitarywaste","sanitary waste"
"softplastics","softplastics","soft plastics"
"tirewear","tirewear","tire wear"
"tirewear","tyrewear","tire wear"
"tirewear&asphalt","tirewear/asphalt","tire wear & asphalt"
"tirewear&asphalt","tirewear&asphalt","tire wear & asphalt"
"tirewear&asphalt","tirewearandasphalt","tire wear & asphalt"
"tirewear&asphalt","tyrewear/asphalt","tire wear & asphalt"
"tirewear&asphalt","tyrewear&asphalt","tire wear & asphalt"
"tirewear&asphalt","tyrewearandasphalt","tire wear & asphalt"
"wood","lumber","wood"
"wood","man.wood","wood"
"wood","timber","wood"
"wood","wood","wood"
"wood","wood(machined)","wood"
"wood","woodydebris","wood"
"woodandpaper","cigarette","wood and paper"
"woodandpaper","paper&lumber","wood and paper"
"woodandpaper","woodandpaper","wood and paper"
"woodandpaper","woodmaterials","wood and paper"
"wool","wool","wool"
