"Material","Morphology","Material (Raw Data)","Morphology (Raw Data)","Concentration (particles/volume)","Sample ID","Material %","Morphology %","Min Length (microns)","Max Length (microns)","Known Alpha Value","Min Concentration (microns3/volume)","Concentration (microns3/volume)","Max Concentration (microns3/volume)","Min Concentration (mg/volume)","Concentration (mg/volume)","Max Concentration (mg/volume)","Alpha","Correction Factor","Corrected Concentration (particles/volume)","Max Corrected Concentration (particles/volume)","Min Corrected Concentration (particles/volume)"
"glass","fragment","glass","fragment",2.35e+08,"curb_2-20um_glass",100,100,2,20,1.6,145655301.141575,42585010412.7078,160987438103.846,0.341416025875851,106.462526031769,427.582635603814,1.6,2.01194927359465,472808079.294742,476884177.630603,481298891.122376
"metal","fragment","metallic","fragment",1.21e+10,"curb_2-20um_metallic",100,100,2,20,1.6,7499698484.31087,2192675004228.78,8289140430027.8,39.7484019668476,15107.5307791363,70291.9108466358,1.6,2.01194927359465,24344586210.4952,24554461912.0438,24781772691.833
"organic","fragment","organic","fragment",1.29e+10,"curb_2-20um_organic",100,100,2,20,1.6,7995546317.98431,2337645252442.26,8837182772508.97,2.07884204267592,888.30519592806,4418.59138625449,1.6,2.01194927359465,25954145629.3709,26177897410.3607,26420237002.0368
"paint","film","paint","film",9.71e+09,"curb_2-20um_paint",100,100,2,20,1.6,601835308.121144,175957638769.103,665186393186.528,0.722202369745374,219.947048461379,864.742311142487,1.6,2.01194927359465,19536027446.604,19704448360.8219,19886860565.099
"tire wear & asphalt","fragment","tire wear & asphalt","fragment",1.94e+11,"curb_2-20um_TRW",100,100,2,20,1.6,120243099665.811,35155285191767.3,132900268051685,204.413269431878,65916.1597345637,272445.549505955,1.6,2.01194927359465,390318159077.361,393683108341.859,397327595224.43
"glass","fragment","glass","fragment",0,"curb_20-125um_glass",100,100,20,125,1.6,0,0,0,0,0,0,1.6,8.9924384380794,0,0,0
"metal","fragment","metallic","fragment",42200000,"curb_20-125um_metallic",100,100,20,125,1.6,9457864925.93986,2765181034926.1,10453429654986.2,50.1266841074813,19052.0973306408,88645.0834742826,1.6,8.9924384380794,379480902.086951,492631987.386409,300699307.120008
"organic","fragment","organic","fragment",5.24e+08,"curb_20-125um_organic",100,100,20,125,1.6,117438891497.452,34335423277281.4,129800880076132,30.5341117893376,13047.460845367,64900.4400380658,1.6,8.9924384380794,4712037741.55361,6117041739.11085,3733801823.00674
"paint","film","paint","film",6.4e+07,"curb_20-125um_paint",100,100,20,125,1.6,1434368140.4269,419363948424.812,1585354260471.84,1.72124176851228,524.204935531015,2060.96053861339,1.6,8.9924384380794,575516060.037082,747119601.723463,456036863.878686
"asphalt","fragment","asphalt","fragment",1.67e+09,"curb_20-125um_asphalt",100,100,20,125,1.6,374280436642.644,109427780292099,413678377341870,823.416960613818,251683.894671828,992828.105620486,1.6,8.9924384380794,15017372191.5926,19495152107.4716,11899711916.8345
"tire wear","fragment","tire wear","fragment",2.61e+09,"curb_20-125um_TW",100,100,20,125,1.6,584953257267.844,171021860216993,646527284348671,701.943908721413,247981.697314641,1099096.38339274,1.6,8.9924384380794,23470264323.3872,30468471257.785,18597753355.0527
